term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robots_lag1,0.002101160052550413,0.006963423895691427,0.7628484636963416,0.002101160052550413,0.005960048933637096,0.7244327720645714,0.0021011600525458465,0.0019697559870799452,0.2862244110222738,0.7647647647647647,-0.011547150783004783,0.01574947088810561
ln_robots_lag1:coord_pre_c,0.014209500540588046,0.005337082365014453,0.00775833535549636,0.014209500540588046,0.00462449418185338,0.002121597177771034,0.014209500540585791,0.0013014732839445166,0.0,0.1011011011011011,0.00374881910515972,0.02467018197601637
ln_va_wiod_qi,0.1288338086379177,0.026354148083769572,1.015767398244251e-06,0.1288338086379177,0.030841247392665205,2.94961855238088e-05,0.12883380863791175,0.01740665450277997,1.936228954946273e-13,,0.07717967839372936,0.18048793888210607
ln_k_wiod,0.32184628181682173,0.07891962627770832,4.53949621592567e-05,0.32184628181682173,0.059876642064844776,7.65164762790926e-08,0.32184628181681535,0.03980475668545601,1.1102230246251565e-15,,0.16716381431251343,0.47652874932113004
gdp_growth,0.29042048981808666,0.24402172135156086,0.23399060052022436,0.29042048981808666,0.16791133414288822,0.0837006519984377,0.29042048981825336,0.1917119007513239,0.129952549578515,,-0.1878620840309726,0.7687030636671459
