review_order,model_id,title,role,output_prefix,sample_mode,focal_term,n_countries,n_entities,n_observations,years,countries_list,coef_country_cluster,se_country_cluster,p_country_cluster,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster,key_terms_file,results_file,sample_manifest_file
1,EQ1,WIOD Eq. 1 baseline,headline baseline,wiod_eq1_baseline_k,full,ln_robots_lag1,26,257,2571,2001-2014,"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FI, FR, HU, IE, IT, LT, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK, UK",0.0096448881124563,0.0061816053239349,0.1186993464387561,0.1261261261261261,-0.0024710583224561,0.0217608345473688,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/wiod_eq1_baseline_k_key_terms.csv,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/wiod_eq1_baseline_k_results.txt,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/sample_manifest_wiod_eq1_baseline_k.txt
2,EQ2_COORD,WIOD Eq. 2 coordination moderation,primary focal institutional result,primary_contribution_eq2_wiod_coord_full_k_continuous,full,ln_robots_lag1:coord_pre_c,25,247,2500,2001-2014,"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FI, FR, HU, IE, IT, LT, LV, MT, NL, NO, PL, PT, SE, SI, SK, UK",0.0124452048610554,0.0053456551576608,0.0199069423976915,0.1081081081081081,0.0019677207520403,0.0229226889700706,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/primary_contribution_eq2_wiod_coord_full_k_continuous_key_terms.csv,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/primary_contribution_eq2_wiod_coord_full_k_continuous_results.txt,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/sample_manifest_primary_contribution_eq2_wiod_coord_full_k_continuous.txt
3,EQ2_ADJCOV,WIOD Eq. 2 adjusted coverage moderation,secondary focal restricted-sample result,secondary_focal_eq2_wiod_adjcov_common_k_continuous,common,ln_robots_lag1:adjcov_pre_c,15,153,1685,2001-2014,"AT, BE, DE, DK, EL, FI, FR, IE, IT, MT, NL, PT, SE, SI, UK",0.0002617082515439,0.0004075345472305,0.520759955756336,0.5085085085085085,-0.0005370594610279,0.0010604759641159,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/secondary_focal_eq2_wiod_adjcov_common_k_continuous_key_terms.csv,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/secondary_focal_eq2_wiod_adjcov_common_k_continuous_results.txt,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/sample_manifest_secondary_focal_eq2_wiod_adjcov_common_k_continuous.txt
4,EQ2_UD,WIOD Eq. 2 union-density reference,reference benchmark institutional result,reference_benchmark_eq2_wiod_ud_full_k_continuous,full,ln_robots_lag1:ud_pre_c,23,227,2356,2001-2014,"AT, BE, CZ, DE, DK, EE, EL, ES, FI, FR, HU, IE, IT, LT, LV, MT, NL, NO, PL, PT, SE, SK, UK",-3.160375483461696e-05,0.0004112074344147,0.9387381081222872,0.954954954954955,-0.0008375703262875,0.0007743628166183,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/reference_benchmark_eq2_wiod_ud_full_k_continuous_key_terms.csv,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/reference_benchmark_eq2_wiod_ud_full_k_continuous_results.txt,/Users/AmatusCapital/Documents/Coding/github_eg/msc-thesis/results/core/sample_manifest_reference_benchmark_eq2_wiod_ud_full_k_continuous.txt
