term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robots_lag1,0.00840135043595426,0.011373093133370052,0.4600867004829635,0.00840135043595426,0.008380671699533403,0.3161178884791619,0.008401350435954366,0.0037030494065239967,0.02342283918428567,0.4594594594594595,-0.013889912105451041,0.030692612977359562
ln_robots_lag1:adjcov_pre_c,0.0002617082515439812,0.0004075345472305794,0.520759955756336,0.0002617082515439812,0.0004394839870747976,0.5515160848450433,0.00026170825154318486,0.00020583831025380297,0.20377229884232917,0.5085085085085085,-0.0005370594610279544,0.0010604759641159168
ln_va_wiod_qi,0.12631629764722924,0.03316111841016587,0.00013943474442847253,0.12631629764722924,0.03710137775448296,0.0006625484241326211,0.12631629764721855,0.02302409864102364,4.804794451196415e-08,,0.06132050556330414,0.19131208973115432
ln_k_wiod,0.31525308826538717,0.07820083026366954,5.546290509738853e-05,0.31525308826538717,0.06812300739930265,3.6974262899256117e-06,0.31525308826537873,0.03006306104815162,0.0,,0.16197946094859486,0.4685267155821795
gdp_growth,0.31588203865504916,0.2647162679479899,0.23275764657036346,0.31588203865504916,0.17794170442932553,0.0758649393579922,0.3158820386551472,0.3095087910685133,0.30761107340164906,,-0.20296184652301108,0.8347259238331094
