term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robot_stock_lag1,0.012999117757892281,0.006711770418050526,0.05277415401661468,0.012999117757892281,0.006234646278499537,0.03707104379306978,0.012999117757892345,0.002680094357061011,1.3112821994898383e-06,0.06806806806806807,-0.0001559522614867498,0.026154187777271312
ln_va_wiod_qi,0.1392962679974877,0.02795940339916703,6.290111957319848e-07,0.1392962679974877,0.032080298829666405,1.4111920779069262e-05,0.13929626799748854,0.01967932541873406,1.9033663534173684e-12,,0.08449583733512032,0.19409669865985507
ln_k_wiod,0.2409799982235666,0.0710656595839328,0.0006965116487810154,0.2409799982235666,0.05014905528998064,1.5453899634527228e-06,0.2409799982235734,0.040416884316458734,2.849352975786701e-09,,0.10169130543905833,0.3802686910080749
gdp_growth,0.24165423731652513,0.21196450341785558,0.25425740274109987,0.24165423731652513,0.15386685984001583,0.11628926537753323,0.24165423731654473,0.1847834076347688,0.19107532189552434,,-0.17379618938247182,0.657104664015522
