term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robots_lag1,0.004976591037895384,0.008366298851177118,0.5519518789160582,0.004976591037895384,0.006897628620345558,0.4706062217060569,0.004976591037894069,0.00194189870692371,0.010449794627816367,0.5555555555555556,-0.011421354710411766,0.021374536786202533
ln_robots_lag1:high_coord_pre,0.011095213632469875,0.013398920141295961,0.4076321332090058,0.011095213632469875,0.009713913503394019,0.2533716819214691,0.011095213632473898,0.0017794476795931933,5.378457679228177e-10,0.4394394394394394,-0.01516666984447021,0.03735709710940996
ln_va_wiod_qi,0.12878848441821553,0.026116888856489065,8.171187441805258e-07,0.12878848441821553,0.030411659948463687,2.2871548448677378e-05,0.1287884844182175,0.018270943190671123,2.3947510641164627e-12,,0.07759938225949696,0.17997758657693408
ln_k_wiod,0.28479407944019475,0.07377887765071929,0.00011333916242779701,0.28479407944019475,0.05667231265515595,5.027059392598392e-07,0.28479407944019086,0.0379327597451356,8.637535131583718e-14,,0.14018747924478495,0.4294006796356046
gdp_growth,0.2520164726251988,0.23461160646829513,0.2827393840310032,0.2520164726251988,0.16182740828170916,0.11939538982111894,0.2520164726251485,0.20916073243416147,0.22837186184608815,,-0.20782227605265968,0.7118552213030572
