term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robots_lag1,0.002101160052549858,0.006963423895691514,0.7628484636964052,0.002101160052549858,0.00596004893363713,0.7244327720646426,0.0021011600525458604,0.0019697559870799487,0.28622441102227136,0.7647647647647647,-0.011547150783005508,0.015749470888105223
ln_robots_lag1:coord_pre_c,0.014209500540588678,0.005337082365014366,0.007758335355492633,0.014209500540588678,0.004624494181853344,0.002121597177769891,0.014209500540585802,0.0013014732839445118,0.0,0.1011011011011011,0.0037488191051605214,0.024670181976016836
ln_va_wiod_qi,0.12883380863791744,0.02635414808376962,1.0157673982443544e-06,0.12883380863791744,0.030841247392665343,2.949618552381238e-05,0.12883380863791175,0.01740665450277996,1.936228954946273e-13,,0.07717967839372898,0.1804879388821059
ln_k_wiod,0.32184628181682234,0.07891962627770877,4.53949621592596e-05,0.32184628181682234,0.05987664206484525,7.651647627910622e-08,0.3218462818168154,0.03980475668545597,1.1102230246251565e-15,,0.16716381431251318,0.47652874932113154
gdp_growth,0.29042048981815904,0.24402172135156006,0.23399060052010612,0.29042048981815904,0.16791133414288767,0.08370065199835959,0.2904204898182536,0.191711900751324,0.12995254957851476,,-0.18786208403089866,0.7687030636672167
