term,coef_country_cluster,se_country_cluster,p_country_cluster,coef_entity_cluster,se_entity_cluster,p_entity_cluster,coef_driscoll_kraay,se_driscoll_kraay,p_driscoll_kraay,p_wild_cluster,ci95_low_country_cluster,ci95_high_country_cluster
ln_robots_lag1,0.003815946947341685,0.007568226821871121,0.614116478385138,0.003815946947341685,0.00612134487482819,0.5330323713231282,0.003815946947341178,0.0013038062853211725,0.0034680243963973734,0.6066066066066066,-0.011017777623525711,0.01864967151820908
ln_robots_lag1:coord_pre_c,0.012184836622907542,0.005375955039650433,0.023418119296662515,0.012184836622907542,0.004889604297331966,0.012703022750446272,0.012184836622907546,0.0015217607261765057,1.9984014443252818e-15,0.1041041041041041,0.001647964745192694,0.02272170850062239
ln_va_wiod_qi,0.12764948046993024,0.026264472699664237,1.1729225441420824e-06,0.12764948046993024,0.03231371803820601,7.804724104461681e-05,0.12764948046993665,0.024202400609191783,1.4942619341873353e-07,,0.07617111397858833,0.17912784696127215
ln_k_wiod,0.31612690367466034,0.08267323634979484,0.00013140418682029177,0.31612690367466034,0.06023968745243738,1.5391140528237992e-07,0.3161269036746588,0.04021452398646817,6.439293542825908e-15,,0.15408736042906246,0.4781664469202582
gdp_growth,0.0030273710247570307,0.4390549942307822,0.9944984717356872,0.0030273710247570307,0.22491043496019333,0.9892605264724489,0.003027371024786281,0.21296998246466076,0.9886600215494443,,-0.857520417667576,0.8635751597170901
