term,demeaned_term,vif,n_obs_used
robots_x_coord,robots_x_coord_dm,1.2051236916000112,2356
robots_x_ud,robots_x_ud_dm,1.3323061120409325,2356
robots_x_coord_ud,robots_x_coord_ud_dm,1.3799872821791082,2356
