scenario,view,countries,entities,observations,years,dropped_countries
A_ifr_wiod,collapsed,26,279,4185,2000-2014,"CH, CY, HR, IC, LU, RU, TR"
B_ud,collapsed,23,246,3690,2000-2014,"BG, CH, CY, HR, IC, LU, RO, RU, SI, TR"
B_coord,collapsed,25,268,4020,2000-2014,"CH, CY, HR, IC, LU, RO, RU, TR"
B_both,collapsed,23,246,3690,2000-2014,"BG, CH, CY, HR, IC, LU, RO, RU, SI, TR"
C_adjcov,collapsed,15,159,2385,2000-2014,"BG, CH, CY, CZ, EE, ES, HR, HU, IC, LT, LU, LV, NO, PL, RO, RU, SK, TR"
D_current_baseline,current_pipeline,14,298,4698,1995-2019,
