review_order,model_id,title,role,term,term_label,n_countries,n_entities,n_observations,years,coef_country_cluster,se_country_cluster,p_country_cluster,p_wild_cluster
1,EQ1,WIOD Eq. 1 baseline,headline baseline,ln_robots_lag1,ln_robots_lag1,24,236,2283,2001-2014,0.0090678746352056,0.0067631037486174,0.1799899519350842,0.236180904522613
2,EQ2_COORD,WIOD Eq. 2 coordination moderation,primary focal institutional result,ln_robots_lag1:coord_pre_c,ln_robots_lag1:coord_pre_c,23,226,2212,2001-2014,0.0107673067479827,0.0046052005538096,0.0193833300998326,0.1206030150753768
4,EQ2B_COORD_UD,WIOD Eq. 2b joint coord x ud moderation,exploratory Hawk-Dove extension,ln_robots_lag1:coord_pre_c,Eq. 2b coord slope term,21,206,2068,2001-2014,0.0087924972528111,0.0070080783215868,0.2096155979234206,0.5678391959798995
4,EQ2_UD,WIOD Eq. 2 union-density reference,reference benchmark institutional result,ln_robots_lag1:ud_pre_c,ln_robots_lag1:ud_pre_c,21,206,2068,2001-2014,-0.0001061300259292,0.0004069800573846,0.7942664008757068,0.8391959798994975
5,EQ2B_COORD_UD,WIOD Eq. 2b joint coord x ud moderation,exploratory Hawk-Dove extension,ln_robots_lag1:ud_pre_c,Eq. 2b ud slope term,21,206,2068,2001-2014,4.780475672347753e-05,0.0003860808705693,0.901457337949002,0.8894472361809045
6,EQ2B_COORD_UD,WIOD Eq. 2b joint coord x ud moderation,exploratory Hawk-Dove extension,ln_robots_lag1:coord_pre_c:ud_pre_c,Eq. 2b Hawk-Dove three-way term,21,206,2068,2001-2014,-0.000554424851653,0.000461280128439,0.2293919714713216,0.4020100502512563
