review_order,comparison_id,title,term,n_countries,n_entities,n_observations,years,coef_country_cluster,se_country_cluster,p_country_cluster,p_wild_cluster,delta_vs_eq2_full_coef,delta_vs_eq2_full_p_wild,delta_vs_eq2b_coord_term_coef,delta_vs_eq2b_coord_term_p_wild
1,EQ2_COORD_FULL,WIOD Eq. 2 coordination moderation (25-country full sample),ln_robots_lag1:coord_pre_c,25,247,2500,2001-2014,0.0124452048610554,0.0053456551576608,0.0199069423976915,0.1081081081081081,0.0,0.0,0.0007851107108633008,-0.36436436436436437
2,EQ2_COORD_EQ2B_SAMPLE,WIOD Eq. 2 coordination moderation (exact Eq. 2b sample),ln_robots_lag1:coord_pre_c,23,227,2356,2001-2014,0.014209500540588046,0.005337082365014453,0.00775833535549636,0.1011011011011011,0.0017642956795326462,-0.007007007007007002,0.002549406390395947,-0.3713713713713714
3,EQ2B_COORD_TERM,WIOD Eq. 2b joint coord x ud moderation (coord term only),ln_robots_lag1:coord_pre_c,23,227,2356,2001-2014,0.0116600941501921,0.0079919373733355,0.1445700145397433,0.4724724724724725,-0.0007851107108633008,0.36436436436436437,0.0,0.0
